Code,Country,Title Of Document Or Source,English Translation Of Title (When Applicable),Source Type,Type Of Document Or Source,Link To Document Or Source,Date Of Publication,Language,Date Entered,Brief Explanation And Notes
UK04,United Kingdom,UK COVID-19 vaccines delivery plan,-,National Implementation Plan,Official National Document,https://www.gov.uk/government/publications/uk-covid-19-vaccines-delivery-plan/uk-covid-19-vaccines-delivery-plan,13/01/2021 - last updated,English,22 Jun 2021,"Delivery plan as it was at the beginning of January (including info. on how the ""National Booking Service"" would work and utilise GP records)."
UK09,United Kingdom,"Maximising vaccine uptake in underserved communities: a framework for systems, sites and local authorities leading vaccination delivery",-,National Implementation Plan,Official National Document,https://www.england.nhs.uk/coronavirus/wp-content/uploads/sites/52/2021/03/C1226-maximising-vaccine-uptake-in-underserved-communities-a-framework-.pdf,26/03/2021,English,24 Jun 2021,Numerous strategies for improving uptake but no specific strategies for undocumented migrants.
UK14,United Kingdom,How to register with a doctor (GP),-,Official Vaccine Policy,Official National Document,https://www.nhs.uk/NHSEngland/AboutNHSservices/doctors/Documents/how-to-register-with-a-gp-leaflet.pdf,-,English,24 Jun 2021,Information on why GP surgeries can and cannot refuse to register new patients.
UK15,United Kingdom,Answers to questions for DHSC from MPs,-,Official Vaccine Policy,Other Government Communication,https://www.parallelparliament.co.uk/dept/DHSC/search?search_term=undocumented+vaccine&department=DepartmentofHealth_SocialCare&order_field=relevance&document_type=writtenanswers,Various,English,24 Jun 2021,"States that unregistered individuals would be contacted through ""various appropriate local systems"" by regional NHS teams."
UK17,United Kingdom,NHS walk-in vaccination sites open up in ‘Grab A Jab’ weekend,-,National Implementation Plan,Other Government Communication,https://www.england.nhs.uk/2021/06/nhs-walk-in-vaccination-sites-open-up-in-grab-a-jab-weekend/,25/06/2021,English,2 Jul 2021,-
UK18,United Kingdom,Everyone is welcome in General Practice,-,Official Vaccine Policy,-,https://www.england.nhs.uk/blog/everyone-is-welcome-in-general-practice/,17/02/2021,English,2 Jul 2021,-
UK19,United Kingdom,Minister for COVID Vaccine Deployment statement on coronavirus (COVID-19): 23 June 2021,-,Official Vaccine Policy,Other Government Communication,https://www.gov.uk/government/speeches/minister-for-covid-vaccine-deployment-statement-on-coronavirus-covid-19-23-june-2021,23/06/2021,English,5 Jul 2021,-
UK20,United Kingdom,Budget 2021,-,Official Vaccine Policy,Official National Document,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/966869/Budget_2021_Print.pdf,03/03/2021,English,5 Jul 2021,-
UK21,United Kingdom,Illegal immigrants to be given Covid vaccines without checks on status,-,Official Vaccine Policy,Media,https://www.itv.com/news/2021-02-08/illegal-immigrants-to-be-given-covid-vaccines-without-checks-on-status,08/02/2021,English,5 Jul 2021,-
UK22,United Kingdom,Covid-19 vaccines - Frequently asked questions,-,Official Vaccine Policy,Other Government Communication,https://healthmedia.blog.gov.uk/2021/06/25/covid-19-vaccines-frequently-asked-questions/,25/06/2021,English,5 Jul 2021,-
UK23,United Kingdom,Summary Care Record application coronavirus (COVID-19) vaccination event data sharing transparency notice,-,Official Vaccine Policy,Other Government Communication,https://digital.nhs.uk/services/summary-care-record-application/summary-care-record-application-coronavirus-covid-19-vaccination-event-data-sharing-transparency-notice,26/05/2021 - last updated,English,5 Jul 2021,-
UK24,United Kingdom,Coronavirus (COVID-19) vaccines,-,Official Vaccine Policy,Other Government Communication,https://www.nhs.uk/conditions/coronavirus-covid-19/coronavirus-vaccination/coronavirus-vaccine/,24/06/2021 - last updated,English,5 Jul 2021,-
UK25,United Kingdom,Who can get a coronavirus (COVID-19) vaccine,-,Official Vaccine Policy,Other Government Communication,https://www.nhs.uk/conditions/coronavirus-covid-19/coronavirus-vaccination/who-can-get-the-vaccine/,24/06/2021 - last updated,English,5 Jul 2021,-
UK26,United Kingdom,Covering letter for consent form for social care staff,-,Official Vaccine Policy,Other Government Communication,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/955720/Letter_template_for_frontline_SCS_v2.docx,14/01/2021,English,5 Jul 2021,-
UK27,United Kingdom,Government report shows improving vaccine confidence among ethnic minority groups,-,Official Vaccine Policy,Other Government Communication,https://www.gov.uk/government/news/government-report-shows-improving-vaccine-confidence-among-ethnic-minority-groups,25/05/2021,English,5 Jul 2021,-
UK28,United Kingdom,Demonstrating your COVID-19 vaccination status,-,Official Vaccine Policy,Other Government Communication,https://www.gov.uk/guidance/demonstrating-your-covid-19-status,21/06/2021 - last updated,English,5 Jul 2021,-
UK29,United Kingdom,14a COVID-19 - SARS-CoV-2,-,Official Vaccine Policy,Official National Document,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1007737/Greenbook_chapter_14a_30July2021.pdf,30/07/2021 - last updated,English,2 Aug 2021,-
UK30,United Kingdom,COVID-19: Vaccine rollout in English prisons to begin today,-,Official Vaccine Policy,Media,https://news.sky.com/story/covid-19-vaccine-rollout-in-english-prisons-to-begin-today-12201902,29/01/2021,English,2 Aug 2021,-
GRE01,Greece,Εθνικό Επιχειρησιακό Σχέδιο Εμβολιασμού κατά της COVID-19,National Vaccination Operational Plan against COVID-19,Official Vaccine Policy,Official National Document,https://emvolio.gov.gr/sites/default/files/ethniko_epiheirisiako_shedio_emvoliasmon_kata_toy_covid-19_v6.1_1.pdf?t=1,27/12/2020 (?),Greek,14 Jun 2021,National Vaccination Campaign for covid-19
GRE02,Greece,"Έναρξη εμβολιασμών μεταναστών στα ΚΥΤ Χίου, Λέσβου και Σάμου","Commencement of COVID-19 vaccination program in RICs of Chios, Lesvos and Samos",Official Vaccine Policy,Official National Document,https://eody.gov.gr/enarxi-emvoliasmon-metanaston-sta-kyt-chioy-lesvoy-kai-samoy/,03/06/2021,Greek,14 Jun 2021,Vaccinations take place in three refugee camps in the islands
GRE05,Greece,Ν. Μηταράκης: Θα εμβολιαστούν κανονικά κατά του κορονοϊού πρόσφυγες και μετανάστες,N. Mitarakis: Refugees and immigrants will be vaccinated against the coronavirus,National Implementation Plan,Media,https://www.capital.gr/epikairotita/3525763/n-mitarakis-tha-emboliastoun-kanonika-kata-tou-koronoiou-prosfuges-kai-metanastes,15/02/2021,Greek,23 Jun 2021,"Minister of Migration said that refugees, migrants and asylum seekers will be vaccinated against the coronavirus. ""They will be vaccinated normally according to their age groups. Everyone has a social security number."""
GRE09,Greece,Αίτηση απόκτησης προσωρινού ΑΜΚΑ,"Temporary Social Security Number (SSN, AMKA) application",Vaccine Registration Website,Registration Website,https://emvolio.gov.gr/en/pamka,?,Greek,23 Jun 2021,-
GRE14,Greece,Ανακοίνωση ΔΟΜ για τον εμβολιασμό στις ανοιχτές δομές φιλοξενίας μεταναστών / αιτούντων άσυλο,IOM announcement for vaccination in open accommodation structures for migrants / asylum seekers,Official Vaccine Policy,Ngo,https://greece.iom.int/el/news/%CE%B1%CE%BD%CE%B1%CE%BA%CE%BF%CE%AF%CE%BD%CF%89%CF%83%CE%B7-%CE%B4%CE%BF%CE%BC-%CE%B3%CE%B9%CE%B1-%CF%84%CE%BF%CE%BD-%CE%B5%CE%BC%CE%B2%CE%BF%CE%BB%CE%B9%CE%B1%CF%83%CE%BC%CF%8C-%CF%83%CF%84%CE%B9%CF%82-%CE%B1%CE%BD%CE%BF%CE%B9%CF%87%CF%84%CE%AD%CF%82-%CE%B4%CE%BF%CE%BC%CE%AD%CF%82-%CF%86%CE%B9%CE%BB%CE%BF%CE%BE%CE%B5%CE%BD%CE%AF%CE%B1%CF%82-%CE%BC%CE%B5%CF%84%CE%B1%CE%BD%CE%B1%CF%83%CF%84%CF%8E%CE%BD-%CE%B1%CE%B9%CF%84%CE%BF%CF%8D%CE%BD%CF%84%CF%89%CE%BD-%CE%AC%CF%83%CF%85%CE%BB%CE%BF,27/05/2021,Greek,23 Jun 2021,-
GRE17,Greece,"Homeless, migrants, Roma without access to Covid-19 vaccination",-,National Implementation Plan,Media,https://www.ekathimerini.com/news/261324/homeless-migrants-roma-without-access-to-covid-19-vaccination/,18/01/2021,English,23 Jun 2021,-
GRE22,Greece,Ξεκινούν οι εμβολιασμοί στις 27 Δεκεμβρίου,Vaccinations begin on December 27,National Implementation Plan,Media,https://www.kathimerini.gr/politics/561199903/mitsotakis-26-dekemvrioy-stin-ellada-ta-emvolia-27-oi-emvoliasmoi/,18/12/2021,Greek,6 Jul 2021,Greek PM announces the rollout of the first vaccinations in Greece
GRE23,Greece,Χωρίς δικαίωμα εμβολιασμού οι άνθρωποι δίχως χαρτιά στην Ελλάδα,People without papers in Greece without the right to vaccination,Official Vaccine Policy,Media,https://www.news247.gr/koinonia/choris-dikaioma-emvoliasmoy-oi-anthropoi-choris-chartia-stin-ellada.9274884.html?fbclid=IwAR1TmyJoAt2hEMi9OGoHnTa0mCInbV6F1kIKMkIqFwzahLqg-xDfBJ38BXc,26/06/2021,Greek,6 Jul 2021,-
GRE25,Greece,Σύσταση Εθνικού Μητρώου Εμβολιασμών,Establishment of a National Vaccination Register,National Implementation Plan,Official National Document,https://www.nomotelia.gr/photos/File/4792b-20.pdf,30/10/2020,Greek,7 Jul 2021,-
GRE26,Greece,COVID-19 Vaccination,-,Vaccine Registration Website,Registration Website,https://emvolio.gov.gr/en,-,English,7 Jul 2021,-
GRE28,Greece,Θολά νερά με τους εμβολιασμούς προσφύγων και μεταναστών,Cloudy waters with vaccinations for refugees and migrants,National Implementation Plan,Media,https://wearesolomon.com/mag/lab-el/thola-nera-me-tous-emvoliasmous-prosfygwn-kai-metanastwn/?lang=el&fbclid=IwAR3WLCHHuPFRXgM6rVkEVPxn3hX9TkZ0vaAQHqg84rGKNDZEML1DKZj5iUM,06/07/2021,Greek,7 Jul 2021,"While research showed that the risk of coronavirus among asylum seekers in the camps was up to three times higher than for the general population, the government made it clear that vaccination was ""not a priority"". And while recently admitting that 30% have already contracted the disease, it avoids answering the key question: what will happen to vaccinate the undocumented?"
GRE29,Greece,About Coronavirus,-,Official Vaccine Policy,Ngo,https://help.unhcr.org/greece/coronavirus/#Vaccination,-,English,7 Jul 2021,-
GRE30,Greece,Επιχειρησιακό Σχέδιο Δράσης Εμβολιασμών κατά του COVID -19 στα Καταστήματα Κράτησης,Operational Plan for COVID -19 Vaccination Action Plan in Detention Facilities,National Implementation Plan,Other Government Communication,http://www.mopocp.gov.gr/index.php?option=ozo_content&perform=view&id=7426&Itemid=722&lang=,01/07/2021,Greek,7 Jul 2021,-
GRE31,Greece,Χωριστό κονδύλι για τα εμβόλια προβλέπει ο προϋπολογισμός,Separate budget allocation for vaccines,National Implementation Plan,Media,https://www.capital.gr/oikonomia/3485723/xoristo-konduli-gia-ta-embolia-problepei-o-proupologismos,06/10/2020,Greek,7 Jul 2021,-
GRE32,Greece,Σοβαρά εμπόδια στον εμβολιασμό των αστέγων,Serious obstacles to vaccination of homeless people,National Implementation Plan,Media,https://virus.com.gr/emvoliasmos-astegon-dyskolies-kai-eykairies-entaxis-ston-koinoniko-isto/,02/06/2021,Greek,7 Jul 2021,-
GRE33,Greece,ΟΔΗΓΙΕΣ ΕΜΒΟΛΙΑΣΜΟΥ ΕΝΑΝΤΙ ΤΟΥ ΙΟΥ SARS-CoV-2-,INSTRUCTIONS FOR VACCINATION AGAINST SARS-CoV-2-virus,National Implementation Plan,Official National Document,https://www.moh.gov.gr/articles/health/dieythynsh-dhmosias-ygieinhs/emboliasmoi/ekpaideytiko-yliko-gia-emboliasmoys-covid19/8253-odhgies-emboliasmoy-enanti-toy-ioy-sars-cov-2,../05/2021,Greek,7 Jul 2021,-
GRE34,Greece,Λειτουργία του Συστήματος και της Πλατφόρμας Διαχείρισης Συνεδριών Εμβολιασμού κατά του κορονοϊού SARS –COV2,Operation of the SARS -COV2 Coronavirus Vaccination Session Management System and Platform,Vaccine Registration Website,Registration Website,https://covid19.gov.gr/leitourgia-tou-systimatos-kai-tis-platformas-diacheirisis-synedrion-emvoliasmou-kata-tou-koronoiou-sars-cov2/,05/01/2021,Greek,7 Jul 2021,-
GRE35,Greece,Εμβολιασμός: Προβληματισμός για μετανάστες χωρίς χαρτιά,Vaccination: concerns about undocumented migrants,National Implementation Plan,Media,https://www.kathimerini.gr/society/561435172/emvoliasmos-provlimatismos-gia-metanastes-choris-chartia/,16/07/2021,Greek,8 Aug 2021,-
GRE36,Greece,Ερωτήσεις / Απαντήσεις για τον Εμβολιασμό του πληθυσμού απέναντι στον Covid-19,Covid-19 Vaccination Questions / Answers,Vaccine Registration Website,Registration Website,https://emvolio.gov.gr/syxnes-erotiseis,17/06/2021 UPDATED,Greek,8 Aug 2021,-
GRE37,Greece,COVID-19 Vaccination Program - Procedure for Issuing a Temporary AMKA,-,Vaccine Registration Website,Registration Website,https://emvolio.gov.gr/sites/default/files/attachments/pamka_presentation_en.pdf,-,English,8 Aug 2021,-
GRE38,Greece,Λειτουργία Εμβολιαστικών Κέντρων,Operation of Vaccination Centres,National Implementation Plan,Official National Document,-,-,Greek,9 Aug 2021,-
GRE39,Greece,Βεβαίωση εμβολιασμού κατά του κορωνοϊού COVID-19,Certificate of vaccination against coronavirus COVID-19,National Implementation Plan,Registration Website,https://www.gov.gr/ipiresies/ugeia-kai-pronoia/koronoios-covid-19/pistopoietiko-emboliasmou,-,Greek,9 Aug 2021,-
GRE40,Greece,Συχνές Ερωτήσεις – Απαντήσεις,Frequently Asked Questions - Answers about Certificate of vaccination against Covid-19,National Implementation Plan,Registration Website,https://info.services.gov.gr/artifact-distribution/Faq_bebaiwsi_emboliasmou_2_3_2021.pdf,01/07/2021 last update,Greek,9 Aug 2021,-
GRE41,Greece,Πιστοποιητικό εμβολιασμού: Σε εφαρμογή από 1η Ιουλίου – Τι θα χρειαστείτε για την έκδοσή του,Vaccination certificate: Effective from 1 July - What you will need to obtain it,Vaccine Registration Website,Media,https://www.newmoney.gr/roh/palmos-oikonomias/ellada/pistopiitiko/,30/06/2021,Greek,9 Aug 2021,-
SPA02,Spain,El reto de los 'invisibles': así vacuna España a personas sin regularizar -Las comunidades autónomas urden planes para inmunizar a inmigrantes no reglados,Vaccination irregular migrants- Regional and National Goverments,National Implementation Plan,Ngo,https://www.redaccionmedica.com/secciones/sanidad-hoy/covid-vacuna-espana-personas-sin-regularizar-6224,23/05/2021,Spanish,2 Jul 2021,Medical association report on the plans for vaccination strategy for undocumented inmigrants and assylum seekers
SPA03,Spain,Estrategia Nacional de vacunación,National Strategy-Vaccination Covid 19,Official Vaccine Policy,Official National Document,https://www.vacunacovid.gob.es/,update 21/5/2021,Spanish,2 Jul 2021,Report on official advice for vaccination policy
SPA04,Spain,Programa Nacional de Vacunacion Covid-19- Website con informacion,Website-Information- National Program Vaccination Covid 19,National Implementation Plan,Official National Document,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/vacunaCovid19.htm,02/06/2021,Spanish,2 Jul 2021,Official Website with information about the vaccination plans and implementation policies
SPA05,Spain,Actualizacion del programa nacional de Vacunacion,Update pdf- Tecnical Report- Vaccination National Strategy,National Implementation Plan,Official National Document,https://www.mscbs.gob.es/profesionales/saludPublica/prevPromocion/vacunaciones/covid19/docs/COVID-19_Actualizacion7_EstrategiaVacunacion.pdf,update 21/05/3021,Spanish,2 Jul 2021,Technical Document from the National Program to register vaccinations
SPA06,Spain,Preguntas y respuestas vacunación,Questions and Answers-Vacccination Strategy,Official Vaccine Policy,Other Government Communication,https://www.vacunacovid.gob.es/preguntas-y-respuestas,-,Spanish,2 Jul 2021,Questions and Answers-Vaccination
SPA12,Spain,El reto de inmunizar a quien está fuera del sistema sanitario,The challenge of vaccinating those outside the health system,National Implementation Plan,Media,https://www.publico.es/sociedad/vacunacion-migrantes-irregulares-reto-inmunizar-fuera-sistema-sanitario.html,-,Spanish,4 Jul 2021,The challenge of immunizing those who are outside the health system
SPA13,Spain,Rueda de Prensa-Gobierno de Espana: Actualizacion del plan de vacunacion,Spanish Goverment-Press Conference Update-Vaccination Plan,National Implementation Plan,Media,https://www.europapress.es/nacional/noticia-pedro-sanchez-comparece-moncloa-consejo-ministros-informar-plan-vacunacion-20210406110613.html,06/04/2021,Spanish,4 Jul 2021,Press conference to explain the Vaccination Plan
SPA17,Spain,PRESENTACIÓN DEL PROYECTO DE PRESUPUESTOS GENERALES DEL ESTADO 2021,Presentation of the general national budget proyects 2021,National Implementation Plan,Official National Document,https://www.sepg.pap.hacienda.gob.es/sitios/sepg/es-ES/Presupuestos/PGE/PGE2021/Documents/LIBROAMARILLO2021.pdf,no date,Spanish,24 Aug 2021,Ministry of Economy national budget for 2021
SPA18,Spain,Estrategia de vacunación frente a COVID19 en España,Vaccination strategy against COVID-19 in Spain (1st release),National Implementation Plan,Official National Document,https://www.mscbs.gob.es/profesionales/saludPublica/prevPromocion/vacunaciones/covid19/docs/COVID-19_EstrategiaVacunacion.pdf,02/12/2020,Spanish,24 Aug 2021,"First version of the strategy, includes prioritisation order for vaccination"
SPA19,Spain,¿Qué es el Certificado COVID Digital UE? ¿Cómo funciona?,What is the digital COVID certificate? How does it work?,National Implementation Plan,Other Government Communication,https://www.vacunacovid.gob.es/preguntas-y-respuestas/que-es-el-certificado-covid-digital-ue-como-funciona,01/07/2021,Spanish,24 Aug 2021,-
SPA20,Spain,Preguntas frecuentes sobre el Certificado Covid Digital de la UE,Frequently asked questions on the EU digital Covid certificate,National Implementation Plan,Other Government Communication,https://sede.mscbs.gob.es/ccd/faq.htm,12/07/2021 (last update),Spanish,31 Aug 2021,-
SPA21,Spain,-,REPORT FROM THE STATE LEGAL SERVICE (DETACHED DEPARTMENT OF THE SLS AT THE SPANISH DPA) ON PROCESSING ACTIVITIES RELATING TO THE OBLIGATION FOR CONTROLLERS FROM PRIVATE COMPANIES AND PUBLIC ADMINISTRATIONS TO REPORT ON WORKERS SUFFERING FROM COVID-19,Official Vaccine Policy,Other Government Communication,https://www.aepd.es/es/documento/2020-0017-en.pdf,12/03/2020,English,30 Sep 2021,"While the document is specific to reporting workers who suffer from COVID-19, it includes some general data processing safeguards relating to personal data. Press release to accompany it https://www.aepd.es/en/prensa-y-comunicacion/notas-de-prensa/the-aepd-has-published-a-report-on-data-processing-activities-in"
NET01,Netherlands,COVID-19-vaccinatie,COVID-19 vaccination,National Implementation Plan,Official National Document,https://lci.rivm.nl/richtlijnen/covid-19-vaccinatie,11/06/2021,Dutch,14 Jun 2021,National implementation plan for Covid-19 vaccinations
NET02,Netherlands,Vaccinatiestrategie: stroomschema,Vaccination strategy: flowchart,National Implementation Plan,Official National Document,https://www.rijksoverheid.nl/documenten/publicaties/2021/02/23/vaccinatiestrategie,23/02/2021,Dutch,14 Jun 2021,Vaccination strategy flowchart
NET08,Netherlands,Kamerbrief met stand van zaken COVID-19 (mei 2021),Letter to the House of Representatives on COVID-19 policy,National Implementation Plan,Other Government Communication,https://www.rijksoverheid.nl/regering/bewindspersonen/hugo-de-jonge/documenten/kamerstukken/2021/05/12/stand-van-zakenbrief-covid-19,11/05/2021,Dutch,16 Jun 2021,"Letter from the Minister of Health, Welfare and Sport on policy related to Covid-19 (relevant info on page 99-100)"
NET13,Netherlands,Uitvoering Vaccinatiestrategie COVID-19,Vaccination strategy implementation Covid-19,National Implementation Plan,Other Government Communication,https://www.tweedekamer.nl/kamerstukken/detail?id=2021D20904&did=2021D20904,02/06/2021,Dutch,2 Jul 2021,Technical briefing from the director of the Covid-19 vaccination programme
NET14,Netherlands,"Verslag van een technische briefing, gehouden op 2 juni 2021, over update coronavirus","Meeting minutes of technical briefing on June 2 2021, about an update on the coronavirus",National Implementation Plan,Other Government Communication,https://www.tweedekamer.nl/kamerstukken/detail?id=2021Z11064&did=2021D24020,17/06/2021,Dutch,2 Jul 2021,Meeting minutes from technical briefing about the rollout of the vaccination programme on the 2nd of June
NET15,Netherlands,Voorjaarsnota 2021,Spring budget 2021,Official Vaccine Policy,Other Government Communication,https://www.tweedekamer.nl/kamerstukken/brieven_regering/detail?id=2021Z08786&did=2021D19342,28/05/2021,Dutch,5 Jul 2021,"Government budget report spring 2021. Categorised as official vaccine policy, but it's really just the overall budget for the government."
NET16,Netherlands,Privacyverklaring Covid-19 vaccinatieprogramma,Privacy statement Covid-19 vaccination programme,Official Vaccine Policy,Official National Document,https://www.rivm.nl/documenten/privacyverklaring-covid-19-vaccinatie,07/04/2021,Dutch,29 Jul 2021,Privacy statement addressing privacy concerns around receiving the vaccine.
NET17,Netherlands,Problemen met digitale middelen en andere vragen over coronabewijzen,Poblems with digital methods and other questions about covid pass,National Implementation Plan,Other Government Communication,https://www.rijksoverheid.nl/onderwerpen/coronavirus-covid-19/coronabewijs/hulp-en-vragen-over-coronabewijs,N/A,Dutch,3 Aug 2021,This page answers questions about access to the certificate of vaccination
NET18,Netherlands,Krijg toegang met een papieren bewijs,Get access with a paper pass,National Implementation Plan,Other Government Communication,https://coronacheck.nl/nl/print/,N/A,Dutch,3 Aug 2021,This is a page for requesting a paper copy of a vaccination certificate
NET19,Netherlands,Vaccination against corona: get informed,-,National Implementation Plan,Other Government Communication,https://www.rijksoverheid.nl/onderwerpen/coronavirus-vaccinatie/feiten-over-coronavaccinatie,no date,"Dutch, English",3 Sep 2021,-
NET20,Netherlands,Corona vaccination: means of communication,-,National Implementation Plan,Other Government Communication,https://www.rijksoverheid.nl/onderwerpen/coronavirus-vaccinatie/coronavaccinatie-communicatiemiddelen,no date,"Dutch, English",3 Sep 2021,-
DEN01,Denmark,Organisation af vaccinationsindsatsen (4. maj),Organisation of the implementation of the vaccination strategy,National Implementation Plan,Official National Document,https://www.sst.dk/-/media/Udgivelser/2021/Corona/Vaccination/Organisering-af-vaccinationsindsatsen-mod-COVID-19---udrulning_5_-februar-2021.ashx?la=da&hash=EEF79505F6ED87314714A2994B5A927774CB8FA9,04/05/2021,Danish,-,-
DEN03,Denmark,-,The Danish Vaccination Programme Against COVID-19,Official Vaccine Policy,Official National Document,https://www.sst.dk/-/media/English/Publications/2021/Corona/Vaccination/The-Danish-Vaccination-Programme-Against-COVID-19.ashx?la=en&hash=C5AC701C8D17412ABA3B1871CF2BF2B90B1353E4,01/02/2021,English,22 Jun 2021,-
DEN04,Denmark,Velkommen til vacciner.dk,Welcome to vacciner.dk,Vaccine Registration Website,Registration Website,https://www.vacciner.dk/Home/Welcome,N/A,"Danish, English",22 Jun 2021,-
DEN05,Denmark,Who are offered vaccination?,Who are offered vaccination?,Official Vaccine Policy,Other Government Communication,https://www.sst.dk/en/English/Corona-eng/Vaccination-against-COVID-19/Who-should-be-vaccinated,07/06/2021,English,22 Jun 2021,-
